sponsor,author,name,description
FFmpeg,Hazem Ashmawy,FFmpeg 360° video filter,A full featured filter that converts between various 360-degree video projections and performs rotation and FOV extraction.
FFmpeg,Mina Sami,Color Constancy Filter,## Various implementations of color constancy filter using machine learning and low-level image statistics.
FFmpeg,Sergey Lavrushkin,Super Resolution Filter,"For the past two years several image and video super resolution methods have been proposed that are based on convolutional neural networks. This work will be more focused on the super resolution algorithms for video, but some algorithms for images will also be considered. All considered super resolution methods will be objectively evaluated and the algorithm with best performance/quality tradeoff will be implemented as a FFmpeg’ super resolution filter."
FFmpeg,klaxa,FFserver replacement,The goal of this project is to write a replacement for the now removed ffserver component. It should meet the criteria proposed for the work on ffserver while there was still discussion about it. The result should be a multi-protocol streaming server that only uses the public API.
FOSSASIA,Akshat Garg,Build an analytics tool  for  SUSI.AI,"Currently, there is no analytical/statistical dashboard, that analyses the conversations that take place on SUSI. The project aims to **develop an analytics tool for SUSI.AI** that would display various statistics/analytics based on standard metrics for conversations on SUSI.AI. It will be a **PWA**, built using **ReactJs**. The data will be fetched from the SUSI Server. The analysis will be done via **various data representation/visualisations** like histograms, bar-graphs, pie-charts, etc. Also, new APIs will be created onto the server’s codebase as per requirement."
FOSSASIA,Akshat Jain,Enhancement of Susi Web Client and Server,This proposal is aimed to enhance the functionalities and overall server side of Susi.
FOSSASIA,Anshuman Verma,SUSI Analytics,Analytics tool to showcase data received from SUSI server.
FOSSASIA,Anup Kumar Panwar,Building Analytical Tool for SUSI.AI,"·        Analyzing user engagement.
·        Sentimental Analysis on chats.
·        Analyzing the correctness of SUSI replies (thumbs up / thumbs down).
·        Integrating grafana for server analytics and Data visualization & Monitoring.
·        Statistics of real time traffic."
FOSSASIA,Arundhati Gupta,SUSI.AI (Android client and server),Enhancements to SUSI.AI Android client and server
FOSSASIA,Avjeet Singh,Development Of Android App for PS LAB,This proposal is for development of PS Lab android application during the GSoC . The proposal mostly focuses on the implementation of the necessary non working modules and experiments along with improvement in UI / UX and proper testing of the app. It heeds to the stated requirement by the PS Lab organisation.
FOSSASIA,Ayush Gupta,Integrate app as microservice and implement the interaction and sharing features,"The aim is to enable multiple web-apps generations by implementing ** queue data structure** for the series of requests triggered by users from the open-event platform. This would prevent  loss of requests from the user and enable the creation of event for every request and provide a web-service for direct generation of event sites from the orga-server(eventyay). In the present implementation, we have transformed websites generated through open-event-webapp to be **Progressive Web App(PWA)**, due to which service workers are already enabled. Therefore we can now move to further enhancement like push-notifications of bookmarked events by any user, also we need to improve the user interface for the **dark theme** enabled recently to project. The present testing suite requires some more tests for the functionalities like direct linking of tracks and rooms so the aim is to write **mocha unit tests** with selenium webdriver for the recently added features and the proposed ones. The travis build for the selenium tests run for around 20 minutes, which is quite large so the aim is to **parallelize the build** so that multiple builds can be performed at the same time and runtime can be decreased significantly."
FOSSASIA,Bhavesh Anand,Improve automatic import of events with enhancement of event analytics and addition of machine learning capabilities for Big data services and search in Open Event Server,"* Improve the feature of automatic import of events
* Implement a system for event analytics
* Implement machine learning capabilities for Big Data Services
* Implement machine learning capabilities for Search

Project Goals :
* Addition of automatic import of events listed on various other event management websites into Open Event so to make it as a one stop resource of events across the web.
* Implement the features for event analytics which allows the users to see how is the events distributed among various categories or event types in Open Event application. This may also include to analyse the interest of attendees towards every specific event type and event topic.
* Addition of machine learning capabilities to have big data services include in the Open Event API Server so to manage the data as our application scales.
* To implement machine learning techniques in events search to provide the user with more specific and interested events result set after searching. 
* Writing tests for all the features improved and introduced."
FOSSASIA,Divyanshu N Singh,"Improve existing SUSI AI Bots, Create new ones and Create a system to manage all of them","Currently there are various SUSI bots built to enable SUSI on different clients. Current bots are on Facebook, Twitter, Line, Skype, Telegram, Viber, Cortana, Google Assistant, Slack, Kik, Google Hangouts and Gitter. Most of these bots are not deployed now. This proposal basically focuses on developing the already created bots into fully functional bot applications, deploying them on Google Cloud platform using kubernetes and addition of more bots for other services. Also, in addition to this I will create a system to properly manage all the bots."
FOSSASIA,Harsh Patel,Improve the Android Science App for PSLab,"This proposal is proposed with an intention to increase the UI of the PSLab app so that the targeted audience which are students and teachers working in the stream of science can be helped. Also, this project targets for the completion of this app fully so that all its functionalities can be provided at once to its user so that they don't have to use any extra device as a support for PSLab's device. In a nutshell, this project targets advancement of all the functionalities starting from very basic of changing icons and themes and ending on very difficult and advanced tasks of testing the app so that it becomes multi-platform and also making the sensors and experiments from very scratch."
FOSSASIA,Harshit Kedia,Improve and Create SUSI bots,"There are a number of SUSI AI bots. Many of them are in their basic version and are not having full features of SUSI. Some have outdated APIs and are therefore not working properly. They don’t meet the user requirements and therefore are not being used by people. Also, the process of installing these bots are generally difficult to find as well as to implement. Some bots are not having appealing interface and are having incorrect documentation. New features such as games, todo lists, reminders, and platform specific functions such as subscribing to a particular channel, can be added to the bots to make them more useful. This project aims at making significant improvements in SUSI AI bots such as susi_slackbot, susi_gitterbot, susi zulip bot, susi_telegrambot, and others too, and make them ready to use in production."
FOSSASIA,Harsimar Singh,Enhancements to Open-Event-Android App,"Open Event Android is a generic android app (output of the Open-Event-App generator). This mobile app can be installed on any Android device for browsing information about the event. Updates can be made automatically through API endpoint connections from an online source (e.g. server), which needs to be defined in the provided event zip with the JSON files. 
I will work on shifting the codebase to Kotlin, migrating database to Room, Implementing different features supported by the API, adding ticketing support etc."
FOSSASIA,Jogendra Kumar,Enhancement to SUSI iOS Project,"SUSI AI is an intelligent Open Source personal assistant. SUSI AI Bots are built to enable users to chat with SUSI on different clients. Susi AI is able to answer questions and depending on the context will ask for additional information in order to perform the desired outcome. The SUSI iOS make use of the APIs to access information from the hosted server. The app also offers login functionalities to connect to other services and store personal data. Additionally, the application uses data provided by the user's phone to improve Susi answers.
* * *
The idea is to improve the SUSI iOS Application by :
* Enable login and connect via facebook, twitter, and google.
* Adding link preview in chat and open links in native webview.
* Adding universal linking for signup activation and forgot password link.
* Adding support for tables in Susi response.
* Implementing Dark Theme for the application.
* Implementing onboarding screens.
* Improving UI for Skill Listening and Skill Details page.
* Solving random crashes and left issues and improving documentation.
* Improving iPad support.
* Writing unit tests."
FOSSASIA,Manish Devgan,Developing Badgeyey into a complete Macro Service,"Developing Badgeyay into a complete Macro Service with UI enhancement, Badge Management System, QR-Code feature and a lot more"
FOSSASIA,Max Lorenz-1,Advanced teaching mode for SUSI,Teaching mode for SUSI AI with teaching by example and workflow teaching leveraging first order logic
FOSSASIA,Mohit,Mohit Kumar - SUSI.AI Proposal,"Enhancing the SUSI.AI android client and Improve the CMS and Editor skills for SUSI.AI.
SUSI currently has room for many improvements, many new skills can be added also existing skills can be enhanced and made better.
The login and signup page UI of the app is pretty average and can be made better.
The SUSI.AI skills activity in the app does not work properly and has a lot of bugs and its UI could also be modified significantly.
SUSI skills editing web framework has many problems such as the categories are not properly refactored."
FOSSASIA,PRAVEEN OJHA,"Enhance SUSPER Search with Improved  Search Results, Search options,New  Design & Internationalization Features.","The idea of the project is to improve the current SUSPER Search by:
1.Improving Search Results by changing back-end to YaCy Grid.
2.Implementing more Search options like News Search,Documents Search,Maps,Improving Current Advanced Search,switching from DBpedia to Wikidata for information box.
3.Improving the current design of SUSPER by showing images related to query in information box by using Wikidata API,Improving current Image Search,Implementing Weather Section,Introducing Dynamic Themes
4.Implementing Internationalisation Feature in SUSPER using Angular Translate(ngx-translate).
5.Suggesting and Implementing Ideas and Goals for SUSPER like Accounting/Authentication,Entity Recognition,Safe Search and filtering contents,Implementing some secondary tabs like Meaning,Products etc"
FOSSASIA,Parth Shandilya,Develop Badgeyay into complete Macro Service,To develop **Badgeyay** into a complete Macro-Service with services ranging from simple to complex functionalities.
FOSSASIA,Pradeep Gangwar,"Improve Experience of Ticketing and Subtickets, Develop a Venue Custom Map and Enhance Organizer Features","- Implement ticketing system for meetups.
- Improving sub ticketing experience, i.e. once they get their conference/meetup tickets they can sign up for specific - workshops.
- Enable the option to issue waiting tickets.
- Enable sending a custom email to speakers and attendees. 
- Develop a venue custom map for reserved seating and integrate it into the ticketing process
- Social media integration to automatically post to an event/meetup start."
FOSSASIA,Praduman,"Enhance AAA System, Skills, and UI/UX of SUSI.AI","Enhance the AAA(Authentication, Authorization, Accounting) system of SUSI.AI by adding external accounts linking and processing data from these accounts to help SUSI give user specific results to some queries asked by users, enhance the UI/UX of susi webapp and adding new features and skills to improve the overall experience of SUSI users."
FOSSASIA,Priyanshu Khandelwal,Enhancements To Open Event Orga Application,"Open Event Orga Application is a client side application for Open Event API designed for Event Organizers. The app provides functionality to Create Events, Create Tickets, Check In Attendee, Scan QR Code, Sales Overview, User Authentication etc. 

The app uses the Modern standard libraries for better performance but still there is scope for improvements. To further increase app's performance, user experience and expand its horizon, the following enhancements are proposed - 

● Migration to MVVM Architecture.

● Background Job Scheduling for Offline Support.

● Feedback to User for Job Requests.

● Implement  Sponsors, Speakers, Speaker Call, Tracks, Order, Sessions,  Event Feedback feature set.


Best available and tested procedures will be used to implement the above enhancements such that there is no compromise with app's performance. Testing frameworks Mockito and Robolectric will be used for testing."
FOSSASIA,Ritika Motwani,Developing new features for the Open Event Frontend,"The New Frontend’s basic foundations have been laid in previous work during last summer of code and subsequent contributions thereafter, with CRUD functionality working for most of the APIs offered by the open event server. 
JSON API spec compliance led to robust integration of the API end points on the client side. However, many bugs still remain, and various APIs have not been implemented yet, or there are other mismatches in actual and expected results."
FOSSASIA,Sanyog Ghosh,Open Event Android Project - GSOC 2018,Open Event Android app has been an open source initiative and it is an app which can be generated in the web itself and can be downloaded. My Google Summer of code project basically aims to achieve a personal messaging platform in the app where developers will get to meet each other. The project also aims to implement a feedback wall in the app where value suggestions and feedback will be present and available to all.
FOSSASIA,Saurabh Srivastava,Show loklak search results as auto-refreshing media wall and add support for Twitter-Api,Aim of this project is to use api/stream.json endpoint of loklak_server to continuously fetch new tweets and use them to show results as auto-refreshing media wall. Part of the project is also to implement accounts using firebase and add support for Twitter-Api for logged in users.
FOSSASIA,Saurav,Open Event Organizer App Enhancements,The goal of this project is to enhance the already working Open Event Orga App by implementing the various features supported by the API.
FOSSASIA,Sridhar Jajoo,Open-event-orga-app,"The open-event-orga-app is an app for organizers with the help of which any Event Organizer out there can create events and manage them. The app has a very well written code and follows the MVP architecture. The core features of the app include scanning in qr code , check in attendees and ticket management. The application is currently released in alpha phase on Google Play Store."
FOSSASIA,Tarun,The Meilix Road Block Project,The Meilix road block projects deals with resolving all the major road blocks of the Meilix Linux custom distribution to put it into a productive stage. One key unresolved issue is to migrate the distribution from a **32Bit to 64Bit **system and associated live boot kernels. While several people had tried to solve the road block issues no one in the project was able so far to dedicate the time to get it through.
FOSSASIA,Vaibhav Shrivastava,"Build upon Open Event Orga App, and make improvements to Open Event Android","This summer, I would like to put my best efforts in building upon the Open Event Organizer App and make improvements to Open Event Android app. This proposal expands on well-recognized issues such as completing the implementation of all endpoints from the API, refactoring from MVP to MVVM, the addition of push notifications and inclusion of Dagger components in tests. It also highlights some issues worth noting like: conversion from Java to Kotlin, tracking of audience's presence, adding support for tablets and smartwatches, up-gradation to integrate latest Google APIs like Android Instant apps and Actions on google. I propose formalizing design documents to improve efficiency and maintain focus. I would also love to work on improving the app's UI to make it look elegant while acting upon Material Design guidelines by Google."
FOSSASIA,Vaibhav Singh,Badgeyay into full featured suite,"This is a project is a simple badge generator that generates different badges for events like conferences, summit, meetups etc. As badges are an essential items for such events so this project serves to help these events."
FOSSASIA,Vikum Bandara,Improve the PSLab-Remote Platform,"The Pocket Science lab (PSLab) is the open source hardware device to use in day-to-day life by students, teachers or any other citizen to do science and research experiments using its built in oscilloscope, a waveform generator, a frequency counter, a programmable voltage, current source and as a data logger. The necessity of the device being used from an remote area or to simulate the functionality at a classroom without the physical device has arrived. Hence the PSLab-Remote platform. 
* The remote platform should give out a real experience to the user and the project proposed here would consist of a good virtual environment to arrange components and capture data from the PSLab. This is an upgrade to the existing web PSLab-remote platform since it only has the functionality of communicating with the device using python scripting. 
* A real world use case is to have a classroom virtual lab environment to test out the PSLab. Hence a the front-end web application will work as a web portal to connect teacher and student. Teacher can add tasks to be completed by the students. Later the sketches and results can be viewed by the teacher to measure the student learning outcomes."
FOSSASIA,Yash Ladha,Badgeyay as a complete service,"# Badgeyay
This is an online utility to generate badges for events like conference, talks etc. This project is an extension project to Eventyay project in fossasia. Currently, there are platforms that provide such service like [Conference Badge](https://www.conferencebadge.com/). There is no in house utility that comfortably links with the Open Event and Eventyay and provides the same services as the platform or more. The platform currently can do basic generation of badges but needs more features to become a better alternative to its competitors.

The proposed enhancements can be: 
* Improvement in the API Endpoint, for better connection with parent projects. 
* Implementation of Authentication using firebase
* QR Code generation for the badges and improvements in the CLI package to reformat the code structure 
* Improvements in the frontend.

These and more changes will enable  the project to become a standalone tool. Also improving the application as a _progressive web application_ will be one of the major tasks and it will enable the website to use the current web trends."
FOSSASIA,mayank8318,Improvements To FOSSASIA’s Open Event Android,"The Open Event Android Project contains two parts :
* Open Event APK Generator
* Generic Android App

Open Event APK Generator is a web app that consumes a zip containing JSON and binary files and generates a specialized android application using the provided config.
Generic Android App’s codebase is used to create the specialized application. Open Event app has the following key features:
* Uses Open Event Orga Server API to fetch required data
* Saves the acquired data in a local SQLite database
* Allows navigating through various aspects of the event, such as:
* Tracks
* Events
* Speakers
* Sponsors
* Locations
* Sessions
* FAQs, etc

I plan to work on the following tasks :
* Enhance App’s UI, making it more material and responsive
* Separate out most of the logic components of MainActivity into different classes
* Remove dependency from Event Bus Pattern 
* Give the current notification system a makeover
* Add upcoming events as a separate fragment for ease of use.
* Improve front end of Android APK generator
* Complete the FAQ section with the proper search feature.
* Write View Model tests for the completed view models"
FOSSASIA,sansyrox,A Plug and Play adaptation,A Plug and Play adaptation for SUSI.AI to be made by using a raspberryPi hardware and elctronJS and reactJS frameworks .
FOSSASIA,sauravvishal8797,Enhancement to FOSSASIA’s Phimpme Android Application.,"Phimp.me is an Android photo application that aims to replace proprietary image applications. It offers features such as taking photos, adding filters, maintaining a favourite collection of photos, editing images and uploading them to different social networks. It was initially developed by FOSSASIA several years back and has been in the development phase since then. Last year, a beta version of this application was released on the Google Play Store. Though it has many user-friendly features, the room for further improvements is still there."
FOSSASIA,schedutron,"Adding and Improving System Features, Enhancing Organizer Ease-of-Use and Integrating with Social Media and Other Communication Tools","This proposal aims to improve ease of app use for organizers and addition of more system features as well as solid integration with social media and common communication tools like SMS and (optionally) phone. Specifically, the implementation of this proposal targets the following aspects:
- Adding more organizer features (few mentioned later in the proposal)
- Improving the mailing system
- Making the server app easier to use for organizers
- Integrating Open Event with social media
- Integrating with other communication tools like SMS
- Adding stress testing as well as system security testing"
FOSSology,Damen,Building a REST API for expressing license compliance,"Fossology is able to check license compliance by scanning on software packages or files, checking for relevant data. However, this output is not organized in a way that can facilitate digging out further information about the licenses. The goal of my project is to build a REST API for expressing license compliance such that further information can be derived from the scan output."
FOSSology,amanjain5221,New/ Improved License Scanner,"Software License compliance is very important for any business/ OSS(open source software) nowadays which creates a need for more accurate license scanning. So, the aim of the project is to develop a new/improved license text scanner using different approaches so that one can generate an SPDX file and other copyright files with accuracy and thus the process can be automated.”"
Fedora Project,ALGOGATOR,Fedora Happiness Packets,Happiness Packets encourages and makes it easier for people to send positive feedback to their peers (anonymously if they like). This project extends Happiness Packets by giving a Fedora Badge to anyone who sends a Happiness Packet to another contributor. To do this we need to add support for Fedora’s authentication system and a fedmsg hook.
Fedora Project,Abhishek Sharma,Improve Fedora Android App - UI/UX Research and Design,Revamp the interface design according to the community standards and craft a better user experience for the Fedora Community application.
Fedora Project,Amitosh Swain Mahapatra,Improve Fedora Android App - Backend,"Fedora has an android app which lets a user browse Fedora Magazine, Fedora Ask, Fedocal etc within it. This app is build using the Ionic Framework, Angular and Cordova. Essentially it is a cross-platform hybrid app. 

In the current form, most of the functions rely on an in-app browser to render content. This project aims to improve the existing Fedora App for Android for speed, utility, and responsiveness, introduce a deeper native integration and make the app more personal for the user."
Fedora Project,Christian Glombek,Fedora IoT: Atomic Host Upgrade Daemon,"Fedora IoT effort is the latest of Fedora’s objectives. Its goal is to “create a Fedora Edition for Internet of Things, which will make Fedora the default for open source innovation on IoT hardware, middleware and backend platforms”.
Many IoT devices have special requirements for operation and automation. Among these is the requirement to not break upon operating system upgrades. As part of Fedora IoT, Peter Robinson ideated the Atomic Host Upgrade Daemon, which builds on the Atomic Project and rpm-ostree, a project also labeled “Git for Operating Systems”. This monitoring daemon will re-use the work done for Atomic Updates for IoT system, allowing for automatic checking for available upgrades, applying them, rebooting, checking the system status and, in case of errors, rolling back the changes."
Fedora Project,Radoslav Pitoňák,Complete support for OpenShift and Kubernetes as a backend in conu,Complete support for [OpenShift](https://github.com/openshift/origin) and [Kubernetes](https://github.com/kubernetes/kubernetes) as a backend in [conu](https://github.com/fedora-modularity/conu)
Free UK Genealogy,Saumya Shah,Proposal for Saumya Shah - Probate Parsing,"Free UK Genealogy will be launching a new project to expose genealogical information from wills and probate books. These books record the date and location of people's deaths, their occupations, and often the same information about the family members that executed the wills.

In previous projects, all this material was transcribed manually by volunteers, as the source documents were handwritten. The probate books are different, however, in that they are printed and thus are accessible to OCR. We should be able to use OCR text to seed a database by parsing the text for names, dates, occupations, and relationships. We should also be able to use OCR bounding box coordinates to associate regions of a scanned page with an entry for presentation to researchers or for correction by volunteers."
Free UK Genealogy,Sudaraka Jayathilaka,Citation Generator for FreeREG and FreeCEN,"In family history, records are kept in numerous formats. When we are referring to family history data, we have to show how we got those data. For an example, when we state about a marriage, we have to show how we got hold of that information. Most probably the marriage may be recorded in a handwritten register and later it was included into a book. When citing we have to include both the hand written register and the book. This leads the readers to the original source of information. But the citations used here are slightly different from the citations used in academia. The aim of this project is to add a interface where the users can easily generate those citations."
Free and Open Source Silicon Foundation,Ahmed Salman,Develop a Transaction-Level Verilog Component Library,"Transaction-Level Verilog (TL-Verilog) is an emerging language extension to System Verilog, Has the ability to define flexible reusable components. 
For this project, will develop a library of compatible components such as FIFOs, queues, arbiters, elastic buffers, etc. that could form the basis of a new era of hardware design,And will demonstrate the ease of composing these components into sophisticated transaction flows and quickly implementing what are currently considered to be complex designs, such as a complete on-chip network!"
Free and Open Source Silicon Foundation,Noe Nieto,Enable DEVSIM to simulate solar cells,DEVSIM is  a TCAD (Technology Computer Aided Design) semiconductor device simulation software. TCAD tools are special simulation software that can simulate the fabrication process of semiconductors as well as their operation. The objective of this work is to add the necessary improvements to DEVSIM  so it can simulate solar cells.
Free and Open Source Silicon Foundation,Sandip Kumar Bhuyan,Improve the LibreCores.org in terms of discoverability,"LibreCores.org lists free and open source “IP Cores” on the website for the community to view and use. All listed projects are backed by a git repository. Currently, LibreCores.org websites extract the project README and LICENSE and render them on the project page, along with links to the project homepage and git repository.

A user browsing for cores on LibreCores will be interested search for a specific category of projects to determine which projects will come under which classification. A user may want to search for a project through a list of projects. The indexing of all the IP Cores and Improving the search experience in LibreCores in terms of discoverability. The IP Cores details will be classified and indexed for making search experience better and more efficient.

This project aims to add classification system for better categorization of a project and to implement a search engine for a better searching experience of projects on LibreCores.org."
Free and Open Source Silicon Foundation,Sriyash Caculo,Digital Filter Block Implementations in MyHDL and PyFDA Integration,"Design and implementation of digital filters is essential for electronics engineers. Digital filter design in hardware usually is a two stage process; algorithm development in a language like Python, Matlab or Java and RTL design in a Hardware Description Language like VHDL or Verilog. myHDL is a Python module for developing, synthesizing and testing HDL code.  PyFDA is a GUI based tool in written in Python/Qt for analysing and designing discrete time filters.
This project aims to leverage and demonstrate the advantages of myHDL, PyFDA and python in general in the field of Digital Filter design.  Algorithm exploration, modeling, designing and simulating of digital filters can all be done in Python and PyFDA.
The project will focus on development and rigorous testing of digital filter designs and their integration with PyFDA. The algorithms for each type of filter will be chosen such that the hardware utilization is kept to a minimum.  Initially Systolic FIR filter and parallel path  IIR filter will be implemented. Later more complicated implementations of non-linear estimation filters will be explored. The filters will be rigorously tested and integrated with PyFDA."
Free and Open Source Silicon Foundation,kunalgulati,BaseJump STL Hacker,"I'm proposing the creation of a Math Library for BaseJump STL. Adding a set of routines that employ the CORDIC algorithm to implement directly and indirectly computable functions like logarithmic, exponential, sqrt, etc. An overall better parameterization of bit-widths in the existing and new modules, along with functions that directly compute on an array with computations based on a configurable pipeline structure. I also propose to add explicit parallelization inspired by SIMD architecture to the mathematical functions in which the number of independent parallel data elements and bit-length is added as a parameter."
Free and Open Source Silicon Foundation,Ákos Hadnagy,Formal verification of WARP-V processor,"WARP-V is an emerging open-source CPU core generator for RISC-V CPUs. It benefits from the flexibility of Transaction-Level Verilog (TL-Verilog) to support a wide range of implementations from simple CPUs for FPGAs through high-frequency ASIC implementations.
The goal of the project is to formally verify the WARP-V core, making development easier for the strict requirements of the RISC-V specification and enabling the use of the WARP-V core in highly demanding and critical areas."
FreeBSD,Aniket Pandey,Regression Test Suite for Audit Framework,"FreeBSD has an audit subsystem which is responsible for monitoring a variety of security-relevant system events, such as user-logins, configuration changes, file system & network access etc. Although the audit framework is indispensable for many security concerned organizations running FreeBSD servers, currently there is no tool to test its reliability and the intended behavior.

The project aims to develop a regression [test-suite](https://github.com/aniketp/AuditTestSuite), which will evaluate the audit framework for proper logging of most auditable system calls along with the file format of BSM/XML/text output, testing a wide range of functionalities of a particular event, and then finally reporting the results and shortcomings if any. Kyua will be used as the automation tool, which will facilitate the regression testing of entire operating system at once, `audit(4)` included. An attempt will be made to stick to the supported architecture of the FreeBSD test-suite while writing test-cases, which will maximize the transparency of integration in the source tree."
FreeBSD,Christian Krämer,Implementation of a user space interface for GPIO interrupts,"FreeBSD already has support for interrupts implemented in the GPIO controller drivers of several SoCs, but there are no interfaces to take advantage of them out of user space yet. The goal of this project is to implement such an interface by providing descriptors which integrate with the common I/O system calls and multiplexing mechanisms."
FreeBSD,Kristaps Čivkulis,Enable EFI Loader to load FreeBSD Xen Dom0,"Currently only BIOS FreeBSD Loader can load Xen kernel which then uses FreeBSD as Dom0 (Control domain). The EFI FreeBSD Loader can’t load Xen kernel, because it can’t load multiboot2 compliant binaries. The first part of project is to add multiboot2 protocol support to EFI FreeBSD Loader, so that it will be able to load Xen kernel (multiboot2 support is general feature in itself, even if it wasn’t related to Xen Kernel). The second part of project is to correctly pass all the needed information to Xen kernel (using multiboot2 protocol) so that it can load FreeBSD kernel as Dom0."
FreeBSD,Mateus de Morais,"Porting Microsoft's CoreCLR, CoreFX, and PowerShell to FreeBSD","PowerShell is a widely used administration tool in Windows Server workloads. This project aims at porting it to FreeBSD in order to make it easier and faster for Windows Server professionals to start working on FreeBSD server workloads and to make available yet another shell choice which is friendly for new-coming Windows users. In order to achieve that, however, porting the .NET Core SDK toolchain, including CoreCLR, CoreFX and the CLI itself, is necessary once they are vital PowerShell dependencies. As a result, FreeBSD users should have access to PowerShell, an object-oriented shell to interact with the system, and .NET Core, which can be useful for developers to build and run their applications on FreeBSD personal and server machines."
FreeBSD,Pratyush Yadav,Import the Xen grant-table bus_dma(9) handlers from OpenBSD,"Xen uses the grant table interface to grant foreign domains access to page frames and to do ownership transfer. Each domain maintains its own grant table and it shares that with Xen to tell it what permissions other domains have on its pages. The index of a grant table entry, called a grant reference, is transmitted to the other domains that need to access the page. OpenBSD’s implementation uses wrappers for the bus_dma(9) interface to implement custom bus_dma functions for communication between domains. This project will bring in the grant table handlers from OpenBSD and integrate them with the rest of the system."
FreeBSD,Samuel Bassaly,Finishing the MPLS implementation,"Add the Multiprotocol Label Switching stack to FreeBSD. In addition to finishing up the implementation of LDP protocol in BIRD, lfib and MPLS traceroute shall also be implemented."
FreeBSD,Shubh Gupta,Oblivious Sandboxing with Capsicum,"Security is of paramount importance. Capsicum sticks to it principles, but is finite, this project aims on making it more widely applicable.

Currently only simple applications can run in the oblivious sandbox provided by capsh. This project will aim upon improving the wrapper system(libpreopen, capsh etc) and make applications work in an oblivious sandbox wherein applications will work in the sandbox without being modified or being known of, but this project will specifically focus on file(1) and Clang.

Moreover, capsh needs to be worked upon such that it becomes aware of the presence of libpreopen and understand the minimal set of resources it needs to preopen, provided by the user implicitly in the form of arguments or defined in a policy file.

The existing libpreopen and capsh code will provide a basis for understanding and improving the wrapper system based on the applications i.e file(1) and Clang chosen to sandbox obliviously."
FreeBSD,Stefano Duo,Extensions to the netmap framework,"The project has 3 major goals:
* Extend VALE switches to support the IEEE 802.1Q standard
* Extend netmap to support buffer offsets
* Write a testing framework for netmap"
FreeBSD,Sumit Lakra,PSPAT Implementation in FreeBSD,"PSPAT or Parallel Scheduling and Parallel Transmission is a new and complete packet scheduling architecture. It is aimed at systems that can generate tens of millions of network packets per second, ex. dedicated Cloud environments that run Virtual Machines. Most hardware and packet schedulers in use today fail to be fully efficient under such high load conditions. PSPAT also happens to be independant of the packet scheduling algorithms that can be used with it. The central idea of PSPAT is to get rid of queuing structures which use locks and thus often often bottleneck the performance of the entire system, even when running on multiple processors and with links that have high packet transfer rates."
FreeBSD,Yutaro Hayakawa,eBPF Implementation for FreeBSD,"This project proposes eBPF implementation for FreeBSD. It will have very basic functionality such as maps, interpreter, JIT compiler for x86-64 and character device + ioctl interface which is an alternative of Linux bpf(2). To introduce how it is useful, we will implement eBPF extension module for VALE software switch which can be used to write very fast middle box (firewall, load balancer and so on) easily."
FreeBSD,capreyon,Verification of bhyve's Instruction emulation,Test harness for the bhyve's Instructions emulation using Intel XED
FreeBSD,lakhanshiva,Convert all PCI drivers attachments to be table driven and mark with PNP_INFO,"This project is being undertaken under the mentorship of FreeBSD organization. The goal of the project is to convert all the PCI drivers attachments to be table driven and mark with PNP_INFO. 
The devmatch infrastructure gives us a way to match up hardware with kernel modules that implement drivers that claim the hardware. The problem is that the drivers need some modification before devmatch can use them. Specifically, they need to have their device ID scans done via a table, and that table needs to be decorated with a PNP_INFO tag so the compiler and kld_xref extract the metadata that devmatch needs to do this job. As the PCI drivers are all over the place in terms of how they match device IDs work will be needed to move some of the in-line code to tables, some of the tables lookups may be able to move to standardized routines, etc. Trimming GENERIC to show that the drivers work is also required.
There are about 243 such PCI drivers. grep -r 'DRIVER_MODULE.*, pci,' * | wc is used to find out. The plan is to convert a significant portion of them and maintain a documentation of the conversion."
FreeType,Armin Hasitzka,Improve Fuzzing for FreeType,"Fuzzing is a very important asset for verifying programs, as it reveals critical edge cases that can be missed easily by structured testing.

FreeType is set up to work with OSS-Fuzz already, yet there are many ways to improve it.
Apart from making fuzzing faster and more efficient, possible improvements also contain the plan to build a regression test suite in a GitHub repository.
Furthermore, this project could be used to separate testing logic from the source code of FreeType by setting up a dedicated testing repository."
FreeType,Nikhil Ramakrishnan,Redevelop FreeType's documentation using markdown,"The aim of my project is to redesign the documentation methods for FreeType, and make it easier to update and manage the FreeType website. This includes changes in the current method of retrieving and generating the API documentation, one-time conversion of the current pages to Markdown, and deploying the website from a repository by performing Markdown to HTML conversions."
FreeType,Parth Wazurkar,Integrating VFlib's TeX format drivers into FreeType,"The goal of this project is to add the support of TeX's bitmap font formats(GF, TFM, PK and VF fonts) into freetype by providing new modules to handle them.The VFLib library contains mature support for TeX's bitmap formats (in particular GF and PK fonts, together with TFM metric files and VF virtual fonts). This project aims at using the existing modules in VFlib as a reference to develop new modules for freetype on the lines of existing bitmap drivers already available in freetype like BDF, PCF and WINFNTS."
GENIVI Alliance,Chandeepa Dissanayake,Extension to Voice Command of IVI System,"Intelligent, Self-Learning System for Smart Vehicles

Intended to build up a self-learning system for smart vehicles. There would be vehicles learning even by your daily routines. How smart would that be?"
